roll_angle,lower_outer_x,lower_outer_y,lower_outer_z,,lower_inner1_x,lower_inner1_y,,lower_inner1_z,,lower_inner2_x,lower_inner2_y,lower_inner2_z,upper_outer_x,upper_outer_y,upper_outer_z,,upper_inner1_x,upper_inner1_y,,upper_inner1_z,,upper_inner2_x,upper_inner2_y,upper_inner2_z,rc_x,rc_y,rc_z,ic_y,ic_z,Steering_trail_x,Scrub_radius_y
0,-0.0175,0.519,0.137,,-0.18,0.165,,0.087,,0.18,0.17,0.087,0.0015,0.5065,0.315,,-0.135,0.24,,0.22,,0.18,0.255,0.255,0,0,0.010616961629378556,-0.328725831,0.017264713124846023,-0.027123596,0.003620787
-0.004592972,-0.0175,0.519,0.137,0,-0.18,0.165349084,0.000349084,0.086241357,-0.000758643,0.18,0.17034903079640876,0.086218392,0.001385959,0.5071169834151954,0.315181968,0.000181968,-0.135,0.24095915554954564,0.000959156,0.21889548215937224,0.218895482,0.18,0.25611975077926286,0.25382621865719995,0,0,0.010590420271285646,-0.31715862,0.016988216618311874,-0.027020978,0.003136577
-0.009185943,-0.017511918,0.5194581048736272,0.137067279,-6.72794E-05,-0.18,0.16569492277642714,0.000345839,0.085481117,-0.00076024,0.18,0.17069471182401869,0.085435188,0.001276252,0.5077090360770538,0.315385204,0.000203236,-0.135,0.24191347178484915,0.000954316,0.21778656949022693,-0.001108913,0.18,0.25723434242618926,0.25264730560969695,0,0,0.010597693714730709,-0.30553842,0.016765317693551565,-0.026953783,0.003489238
-0.013778915,-0.017517507,0.5196779960696487,0.137101167,-3.38873E-05,-0.18,0.16603704450506132,0.000342122,0.084719298,-0.000761819,0.18,0.17103656986631433,0.084650406,0.001166166,0.5082855151604325,0.31557976,0.000194556,-0.135,0.242862463,0.000948991,0.21667328691576188,0.2177822,0.18,0.25834328550382335,0.2514632872573714,0,0,0.010607348951195063,-0.294180628,0.016551114,-0.026869668,0.003429311
-0.018371887,-0.017522847,0.5198917285617913,0.137135159,-3.39926E-05,-0.18,0.16637555306134738,0.000338509,0.083955917,-0.000763381,0.18,0.17137470926951398,0.083864063,0.000701021,0.5090547209082409,0.315281415,-0.000298345,-0.135,0.24380621968359903,0.000943757,0.2155556584266314,-0.002226541,0.18,0.2594466681764548,0.25027418908307375,0,0,0.010073053882713928,-0.288033084,0.015599478,-0.026551394,0.003233946
-0.022964859,-0.017528318,0.5201113166976701,0.137171075,-3.59153E-05,-0.18,0.16672295383344832,0.000347401,0.083190847,-0.00076507,0.18,0.17172163542956817,0.083076033,0.000500352,0.5096694127407332,0.315350974,6.95583E-05,-0.135,0.24475723550581635,0.000951016,0.2144335646808627,0.216660106,0.18,0.26055697969695757,0.24907989325250934,0,0,0.009960845,-0.278139009,0.015237987,-0.026407618,0.003149974
-0.02755783,-0.017533339,0.5203183416709841,0.137206072,-3.4997E-05,-0.18,0.16706011390575537,0.00033716,0.082424282,-0.000766565,0.18,0.17205821544088012,0.082286511,0.000299946,0.5102636895347872,0.315418219,6.72451E-05,-0.135,0.24569636446759224,0.000939129,0.21330720744008497,-0.003352898,0.18,0.2616550710558522,0.24788060305043583,0,0,0.009858974,-0.268375354,0.014898794646176994,-0.026263239,0.003059449
-0.032150802,-0.017538134,0.5205199443965206,0.137241202,-3.51303E-05,-0.18,0.16739444782548485,0.000334334,0.081656166,-0.000768117,0.18,0.17239186386290284,0.081495439,9.941106705960005e-05,0.5108443916578748,0.315484391,6.61728E-05,-0.135,0.24663100841739738,0.000934644,0.2121765374773143,0.215529436,0.18,0.26274834074824155,0.24667627078841578,0,0,0.009767506,-0.258726235,0.014581049596942827,-0.026118445,0.002969791
-0.036743774,-0.0175427,0.5207159822674843,0.137276408,-3.52063E-05,-0.18,0.16772580363002257,0.000331356,0.080886511,-0.000769654,0.18,0.1727224287474829,0.080702834,-0.000101229,0.5114113675502787,0.315549463,6.50711E-05,-0.135,0.24756100272886608,0.000929994,0.21104157649536479,-0.004487859,0.18,0.26383662080149406,0.24546691972319543,0,0,0.009686721,-0.249190268,0.014284504385989633,-0.025973235,0.002880857
-0.041336745,-0.01754703,0.5209063064583777,0.137311631,-3.52223E-05,-0.18,0.16805401941516288,0.000328216,0.080115335,-0.000771176,0.18,0.1730497482070994,0.07990871,-0.000301945,0.5119644598969091,0.315613405,6.39426E-05,-0.135,0.24848617286930258,0.00092517,0.2099023478252983,0.214390207,0.18,0.2649197333438206,0.24425257475512163,0,0,0.009616902,-0.239766116,0.014008916397137111,-0.025827609,0.002792494
-0.045929717,-0.017551121,0.5210907663705988,0.137346807,-3.5176E-05,-0.18,0.1683789279338672,0.000324909,0.079342654,-0.000772681,0.18,0.17337365501362204,0.079113086,-0.000502704,0.5125035088749104,0.315676195,6.27901E-05,-0.135,0.2494063389987061,0.000920166,0.20875887643550495,-0.005631331,0.18,0.2659974952033697,0.24303326243718928,0,0,0.009558344,-0.230452483,0.013754047281772416,-0.025681574,0.002704552
-0.050522689,-0.017554968,0.5212692095716777,0.137381872,-3.50653E-05,-0.18,0.16870035646803905,0.000321429,0.078568487,-0.000774167,0.18,0.17369397647008586,0.078315981,-0.000703467,0.5130283512459997,0.315737812,6.16163E-05,-0.135,0.2503213158418111,0.000914977,0.2076111889969229,0.21324252,0.18,0.2670697177803384,0.2418090110402276,0,0,0.009511344,-0.221248112,0.013519662290475562,-0.02553514,0.002616879
-0.055115661,-0.017558565,0.521441482,0.13741676,-3.48881E-05,-0.18,0.16901812670893723,0.00031777,0.077792854,-0.000775633,0.18,0.17401053429110383,0.077517415,-0.00090419,0.5135388193862578,0.315798235,6.04231E-05,-0.135,0.25123091256876606,0.000909597,0.20645931394988498,-0.006783206,0.18,0.2681362069277211,0.24057985061971307,0,0,0.009476207,-0.212151793,0.013305529624020138,-0.025388318,0.002529324
-0.059708632,-0.017561908,0.5216074264245232,0.137451402,-3.4642E-05,-0.18,0.16933205464759538,0.000313928,0.077015779,-0.000777076,0.18,0.17432314449328598,0.076717413,-0.001104825,0.5140347405629246,0.315857447,5.92123E-05,-0.135,0.25213493268581627,0.00090402,0.20530328157241776,0.212086487,0.18,0.26919676284206223,0.23934581308403444,0,0,0.009453243,-0.203162356,0.013111419677946975,-0.025241125,0.002441737
-0.064301604,-0.017564991,0.5217668853143042,0.137485727,-3.43247E-05,-0.18,0.16964195048256417,0.000309896,0.076237284,-0.000778494,0.18,0.17463161730298116,0.075915998,-0.001614987,0.5144958764259703,0.316068349,0.000210902,-0.135,0.25303317394331026,0.000898241,0.20414312404960205,-0.007943363,0.18,0.27025117997153264,0.23810693226381882,0,0,0.009595291,-0.193191529,0.013126202698030803,-0.024844449,0.00236463
-0.068894576,-0.017567499,0.5219099041298597,0.137517898,-3.21717E-05,-0.18,0.1699371186886926,0.000295168,0.075457759,-0.000779525,0.18,0.17492525722505753,0.075113558,-0.001826804,0.5149565375723579,0.316131295,6.29457E-05,-0.135,0.25391492840474317,0.000881754,0.20297923737842521,0.210922601,0.18,0.27128874708504236,0.2368636058167492,0,0,0.009603809,-0.184419038,0.012977381388913592,-0.024686564,0.002263435
-0.073487547,-0.017570014,0.5220548652566243,0.13755115,-3.32515E-05,-0.18,0.17023720417308347,0.000300085,0.074676574,-0.000781185,0.18,0.1752237091988576,0.074309466,-0.002037198,0.5154110195932045,0.316194057,6.27624E-05,-0.135,0.25479982860297423,0.0008849,0.20181100063541876,-0.0091116,0.18,0.2723290934285279,0.23561521449516717,0,0,0.009624165,-0.1757399,0.012845783781278167,-0.024529944,0.002170482
-0.078080519,-0.017572256,0.5221929002016169,0.13758386,-3.27098E-05,-0.18,0.17053269711218363,0.000295493,0.073894057,-0.000782516,0.18,0.17551746343528773,0.073504051,-0.002245935,0.5158504547833067,0.31625505,6.09924E-05,-0.135,0.2556783523775779,0.000878524,0.20063875102328577,0.209750351,0.18,0.2733626935623725,0.23436209719266488,0,0,0.009657333,-0.167168553,0.012732386,-0.024374127,0.002076833
-0.082673491,-0.017444066,0.5224890358328392,0.137103501,0.000480359,-0.18,0.170823348,0.000290651,0.073110244,-0.000783814,0.18,0.17580627059738038,0.072697347,-0.002415426,0.5164762069891979,0.315810862,-0.000444188,-0.135,0.2565502380556674,0.000871886,0.19946253023781707,-0.010287821,0.18,0.2743892825422991,0.23310429731096552,0,0,0.009838608,-0.160362037,0.012843825182069266,-0.023973974,0.002102052
-0.087266463,-0.017438336,0.5226133364124074,0.137105581,-2.08086E-06,-0.18,0.17109718364161056,0.000273836,0.07232568,-0.000784564,0.18,0.17607815713206929,0.071889901,-0.002619125,0.5168878132348758,0.315839183,2.83208E-05,-0.135,0.2574035,0.000853262,0.19828289419343975,0.208570715,0.18,0.2753968712514742,0.23184237248543596,0,0,0.009898641,-0.152091045,0.012766250264349174,-0.023806073,0.002005354
